time_myr,bh_id,mass_msun,vx,vy,vz,x,y,z
30.0002,55582.0,13.4859,0.3166,-1.185,1.2879,2.5007,-9.445,11.3867
30.0002,56715.0,13.6271,0.9314,0.5909,-3.0759,9.3394,6.7152,-31.6841
30.0002,24470.0,8.3813,-0.5734,0.96,1.945,-0.1265,0.1336,0.5325
30.0002,63507.0,13.5989,-0.6111,-0.4688,1.3525,-7.2911,-5.4877,8.8128
30.0002,64104.0,9.7051,-0.192,0.4863,0.3256,0.2226,0.0848,0.0153
30.0002,64220.0,8.6695,-0.293,-0.2526,-0.054,-2.8039,-0.9939,0.7539
30.0002,99146.0,13.9694,-0.0389,2.6051,0.8008,-0.7811,16.4284,5.5586
30.0002,60061.0,9.1021,0.1626,0.3698,-0.4322,-0.2487,1.8893,-1.845
30.0002,64750.0,15.5474,-1.3402,1.1255,-0.0713,-4.6827,4.8104,-0.0381
30.0002,65431.0,10.1381,0.096,-0.1469,-0.4534,-0.0926,0.0137,-0.4078
30.0002,67283.0,13.5766,-1.2248,-0.9635,-0.6075,-9.5796,-8.7721,-4.7434
30.0002,72227.0,13.7507,-0.1719,0.4234,0.3358,-1.0362,-0.2532,-0.9162
30.0002,30179.0,8.2729,-0.5997,-0.281,-0.5298,-0.0373,-0.1175,-0.0401
30.0002,86307.0,13.4459,-0.1326,0.0633,-0.0433,-4.255,0.5454,-2.0946
30.0002,70141.0,13.5093,0.8997,-0.596,0.1324,7.3112,-3.0144,1.0346
30.0002,72102.0,13.5388,-0.9412,-1.0485,0.5207,-8.8109,-11.5345,7.3586
30.0002,72162.0,13.4483,0.76,0.492,0.5594,7.2507,6.2702,5.1389
40.0,169516.0,13.409,0.3493,-0.5834,0.5612,0.0585,0.2043,0.0214
40.0,133576.0,10.2363,0.4686,-0.3753,-0.2086,7.7126,-4.9546,-3.0646
40.0,114050.0,5.469,0.4273,0.6904,-0.969,2.0123,3.5821,-4.9823
40.0,159102.0,10.4561,-0.1347,0.8216,0.2368,-1.9354,11.6949,4.1968
40.0,178606.0,15.5545,0.4769,-0.3106,0.1049,-1.794,0.7425,0.0141
40.0,166318.0,7.5585,-0.2673,0.1896,0.4444,-0.8329,0.3018,1.0172
40.0,128118.0,5.788,0.9574,1.1077,-0.2789,6.086,2.8469,-2.6912
40.0,151114.0,15.3749,-0.1003,-0.8516,0.637,0.0697,0.0587,-0.4264
40.0,3801.0,14.5122,0.1117,0.3359,0.3134,1.5738,7.2873,7.0635
40.0,125237.0,13.4118,-1.2034,0.712,-0.5416,-24.8174,12.3905,-8.9005
40.0,148693.0,9.5646,0.8634,-1.1346,-0.4716,11.5753,-13.2856,-5.952
40.0,133972.0,4.7881,0.6773,0.3011,0.5813,1.9126,1.2674,2.0637
40.0,72710.0,7.883,-0.4294,0.4336,-0.2173,-5.0164,5.4671,-3.0774
40.0,113839.0,13.6492,0.1163,-0.6612,-0.2779,0.0217,-0.5578,-0.7356
40.0,133978.0,9.8609,0.5887,-0.1818,-0.281,8.6235,-1.9763,-4.2858
40.0,143147.0,8.4719,-0.9557,-0.8353,-1.2571,-10.0046,-7.8494,-12.2636
40.0,116906.0,5.8369,-0.6216,-0.7178,-0.3748,-4.2239,-4.755,-2.2034
40.0,63615.0,14.9009,-1.0107,-0.0001,1.5809,-22.6359,-2.7298,36.4581
40.0,122262.0,13.4132,-0.3472,-0.5981,-0.2736,0.1824,0.4291,0.9476
40.0,149981.0,13.4453,-1.711,-0.7857,0.3093,-32.0565,-18.779,6.9615
40.0,108944.0,5.8588,0.2126,0.1256,-0.6499,0.8939,-0.2885,0.5631
40.0,2337.0,15.5225,0.2318,-0.7252,-2.3759,4.5036,-9.5118,-32.5862
